,event_id,division,round,team1,team2,score1,score2,match_link
125,7349,Division 3 X-Ball™,Top 24/32,LA ALL STARS ,AG Knights,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1505
126,7349,Division 3 X-Ball™,Top 24/32,STRUGGLE,PORTLAND PROPHECY,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1506
127,7349,Division 3 X-Ball™,Top 24/32,Team 13,Rood BoiZ,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1507
128,7349,Division 3 X-Ball™,Top 24/32,New York InfeXtious,Carolina Breakout,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1503
129,7349,Division 3 X-Ball™,Top 24/32,TNB,Palm Beach Vipers,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1502
130,7349,Division 3 X-Ball™,Top 24/32,Swag Jackers,Cartel Kidz,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1501
131,7349,Division 3 X-Ball™,Top 24/32,DC Haze,LVPP ICEMEN,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1500
132,7349,Division 3 X-Ball™,Ocho-Finals,Sac DMG,DC Haze,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1500
133,7349,Division 3 X-Ball™,Ocho-Finals,New York BRAVE,Swag Jackers,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1501
134,7349,Division 3 X-Ball™,Ocho-Finals,Carolina Crisis Bronze,TNB,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1502
135,7349,Division 3 X-Ball™,Ocho-Finals,New York InfeXtious,Shut up we're trying ,6,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1503
136,7349,Division 3 X-Ball™,Ocho-Finals,Philadelphia A's,Team 13,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1507
137,7349,Division 3 X-Ball™,Ocho-Finals,STRUGGLE,New York Wrecking Crew,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1506
138,7349,Division 3 X-Ball™,Ocho-Finals,NRG Alpha,LA ALL STARS ,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1505
139,7349,Division 3 X-Ball™,Ocho-Finals,Wisconsin Infamous,Pittsburgh Mercenaries,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1504
140,7349,Division 3 X-Ball™,Quarter-Finals,Sac DMG,Wisconsin Infamous,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1500
141,7349,Division 3 X-Ball™,Quarter-Finals,New York BRAVE,NRG Alpha,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1501
142,7349,Division 3 X-Ball™,Quarter-Finals,Carolina Crisis Bronze,STRUGGLE,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1502
